mu10sigma25rf0,mu10sigma25rf2,mu10sigma25rf3,mu10sigma25rf4,mu10sigma15rf0,mu10sigma15rf2,mu10sigma15rf3,mu10sigma15rf4,mu13sigma25rf0,mu15sigma25rf2,mu15sigma25rf3,mu15sigma25rf4,mu13sigma15rf0,mu13sigma15rf2,mu13sigma15rf3,mu13sigma15rf4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.582553105,0.466042484,0.407787173,0.349531863,1.618203069,1.294562455,1.132742149,0.970921842,0.757319036,0.640808415,0.582553105,0.524297794,2.10366399,1.780023376,1.618203069,1.456382762
1.16510621,0.932084968,0.815574347,0.699063726,3.236406139,2.589124911,2.265484297,1.941843683,1.514638073,1.281616831,1.16510621,1.048595589,4.20732798,3.560046753,3.236406139,2.912765525
1.747659314,1.398127451,1.22336152,1.048595589,4.854609206,3.883687365,3.398226444,2.912765524,2.271957109,1.922425246,1.747659314,1.572893383,6.310991968,5.340070127,4.854609206,4.369148286
2.330212422,1.864169937,1.631148695,1.398127453,6.472812282,5.178249826,4.530968598,3.883687369,3.029276148,2.563233664,2.330212422,2.097191179,8.414655967,7.12009351,6.472812282,5.825531054
2.912765527,2.330212422,2.038935869,1.747659316,8.091015353,6.472812282,5.663710747,4.854609212,3.786595185,3.20404208,2.912765527,2.621488974,10.51831996,8.900116888,8.091015353,7.281913817
3.495318632,2.796254906,2.446723043,2.097191179,9.709218423,7.767374739,6.796452896,5.825531054,4.543914222,3.844850496,3.495318632,3.145786769,12.62198395,10.68014027,9.709218423,8.738296581
4.077871732,3.262297385,2.854510212,2.446723039,11.32742148,9.061937182,7.929195034,6.796452886,5.301233251,4.485658905,4.077871732,3.670084559,14.72564792,12.46016363,11.32742148,10.19467933
4.660424843,3.728339875,3.26229739,2.796254906,12.94562456,10.35649965,9.061937195,7.767374739,6.058552296,5.126467327,4.660424843,4.194382359,16.82931193,14.24018702,12.94562456,11.65106211
5.242977949,4.194382359,3.670084564,3.145786769,14.56382763,11.65106211,10.19467934,8.738296581,6.815871333,5.767275743,5.242977949,4.718680154,18.93297593,16.0202104,14.56382763,13.10744487
5.825531054,4.660424843,4.077871738,3.495318632,16.18203071,12.94562456,11.32742149,9.709218423,7.57319037,6.408084159,5.825531054,5.242977949,21.03663992,17.80023378,16.18203071,14.56382763
6.408084157,5.126467326,4.48565891,3.844850494,17.80023377,14.24018702,12.46016364,10.68014026,8.330509404,7.048892573,6.408084157,5.767275741,23.1403039,19.58025715,17.80023377,16.02021039
6.990637265,5.592509812,4.893446085,4.194382359,19.41843685,15.53474948,13.59290579,11.65106211,9.087828444,7.689700991,6.990637265,6.291573538,25.2439679,21.36028053,19.41843685,17.47659316
7.573190365,6.058552292,5.301233255,4.543914219,21.0366399,16.82931192,14.72564793,12.62198394,9.845147474,8.330509401,7.573190365,6.815871328,27.34763187,23.14030389,21.0366399,18.93297591
8.155743464,6.524594771,5.709020425,4.893446078,22.65484295,18.12387436,15.85839007,13.59290577,10.6024665,8.97131781,8.155743464,7.340169117,29.45129584,24.92032725,22.65484295,20.38935866
8.738296581,6.990637265,6.116807607,5.242977949,24.27304606,19.41843685,16.99113224,14.56382763,11.35978556,9.612126239,8.738296581,7.864466923,31.55495988,26.70035066,24.27304606,21.84574145
9.320849686,7.456679749,6.52459478,5.592509812,25.89124913,20.7129993,18.12387439,15.53474948,12.11710459,10.25293465,9.320849686,8.388764718,33.65862387,28.48037404,25.89124913,23.30212422
9.903402766,7.922722213,6.932381937,5.94204166,27.50945213,22.0075617,19.25661649,16.50567128,12.8744236,10.89374304,9.903402766,8.91306249,35.76228777,30.26039734,27.50945213,24.75850692
10.4859559,8.388764718,7.340169128,6.291573538,29.12765527,23.30212422,20.38935869,17.47659316,13.63174267,11.53455149,10.4859559,9.437360307,37.86595185,32.0404208,29.12765527,26.21488974
11.06850896,8.854807167,7.747956271,6.641105375,30.74585822,24.59668657,21.52210075,18.44751493,14.38906165,12.17535985,11.06850896,9.961658062,39.96961568,33.82044404,30.74585822,27.6712724
11.65106211,9.320849686,8.155743476,6.990637265,32.36406141,25.89124913,22.65484299,19.41843685,15.14638074,12.81616832,11.65106211,10.4859559,42.07327983,35.60046755,32.36406141,29.12765527
12.23361523,9.786892181,8.563530659,7.340169136,33.98226452,27.18581161,23.78758516,20.38935871,15.90369979,13.45697675,12.23361523,11.0102537,44.17694387,37.38049097,33.98226452,30.58403807
12.81616826,10.25293461,8.971317784,7.689700958,35.6004674,28.48037392,24.92032718,21.36028044,16.66101874,14.09778509,12.81616826,11.53455144,46.28060762,39.16051414,35.6004674,32.04042066
13.39872144,10.71897715,9.379105007,8.039232863,37.21867066,29.77493653,26.05306946,22.3312024,17.41833787,14.73859358,13.39872144,12.05884929,48.38427186,40.94053773,37.21867066,33.4968036
13.98127453,11.18501962,9.786892171,8.388764718,38.83687369,31.06949895,27.18581159,23.30212422,18.17565689,15.37940198,13.98127453,12.58314708,50.4879358,42.72056106,38.83687369,34.95318632
14.56382761,11.65106209,10.19467933,8.738296565,40.45507669,32.36406135,28.31855368,24.27304601,18.93297589,16.02021037,14.56382761,13.10744485,52.5915997,44.50058436,40.45507669,36.40956902
15.14638073,12.11710458,10.60246651,9.087828438,42.0732798,33.65862384,29.45129586,25.24396788,19.69029495,16.6610188,15.14638073,13.63174266,54.69526374,46.28060778,42.0732798,37.86595182
15.72893385,12.58314708,11.01025369,9.437360307,43.6914829,34.95318632,30.58403803,26.21488974,20.447614,17.30182723,15.72893385,14.15604046,56.79892778,48.0606312,43.6914829,39.32233461
16.31148693,13.04918954,11.41804085,9.786892156,45.30968591,36.24774873,31.71678014,27.18581155,21.20493301,17.94263562,16.31148693,14.68033823,58.90259168,49.8406545,45.30968591,40.77871732
16.89404003,13.51523203,11.82582802,10.13642402,46.92788898,37.54231118,32.84952228,28.15673339,21.96225204,18.58344404,16.89404003,15.20463603,61.00625567,51.62067788,46.92788898,42.23510008
17.47659316,13.98127453,12.23361521,10.4859559,48.54609212,38.83687369,33.98226448,29.12765527,22.71957111,19.22425248,17.47659316,15.72893385,63.10991975,53.40070133,48.54609212,43.6914829
